Date,Open,High,Low,Close,Adj Close,Volume
2011-09-09,1618.560059,1717.119995,1598.719971,1688.319946,1682.297485,33600
2011-09-12,1745.920044,1747.839966,1621.760010,1623.040039,1617.250366,47000
2011-09-13,1605.760010,1628.800049,1549.439941,1560.319946,1554.753906,25300
2011-09-14,1536.640015,1580.800049,1440.000000,1495.040039,1489.706909,33800
2011-09-15,1441.920044,1490.560059,1418.880005,1425.920044,1420.833618,30800
2011-09-16,1416.319946,1425.280029,1382.400024,1388.160034,1383.208252,29700
2011-09-19,1438.079956,1472.000000,1363.199951,1384.319946,1379.381836,46600
2011-09-20,1365.119995,1412.479980,1331.199951,1402.239990,1397.237915,37600
2011-09-21,1383.680054,1476.479980,1360.000000,1475.839966,1470.575317,43900
2011-09-22,1592.319946,1684.479980,1549.439941,1618.560059,1612.786255,83700
2011-09-23,1658.880005,1664.640015,1546.239990,1566.719971,1561.131226,43500
2011-09-26,1540.479980,1649.280029,1505.280029,1513.599976,1508.200684,38800
2011-09-27,1437.439941,1496.319946,1396.479980,1468.800049,1463.560547,59400
2011-09-28,1446.400024,1541.119995,1417.599976,1534.079956,1528.607544,46400
2011-09-29,1459.839966,1662.719971,1455.359985,1583.359985,1577.711792,74800
2011-09-30,1648.640015,1710.079956,1608.319946,1704.959961,1698.878052,67800
2011-10-03,1752.959961,1841.280029,1672.959961,1841.280029,1834.711792,71700
2011-10-04,1897.599976,1950.719971,1713.920044,1724.800049,1718.647339,80800
2011-10-05,1737.599976,1777.920044,1578.880005,1594.880005,1589.190796,66300
2011-10-06,1598.719971,1620.479980,1513.599976,1514.239990,1508.838379,47400
2011-10-07,1513.599976,1573.119995,1494.400024,1543.680054,1538.173462,54600
2011-10-10,1466.239990,1472.000000,1385.599976,1386.239990,1381.294922,43000
2011-10-11,1395.839966,1401.599976,1345.920044,1358.719971,1353.873169,30300
2011-10-12,1316.479980,1338.880005,1290.880005,1333.119995,1328.364502,54400
2011-10-13,1344.000000,1346.560059,1292.800049,1297.920044,1293.290039,45700
